skip
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Blank,Solvent_blank_MobileA2B2_1_HILICneg_SZ_09222023_01,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A1,3,,0,0,0,1,,,,,,,
Blank,Solvent_blank_MobileA1B1_1_RPpos_SZ_09222023_02,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A2,3,,0,0,0,1,,,,,,,
Blank,Process_blank_HMGCS2_Cellpellets_1_HILICneg_SZ_09222023_03,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A3,3,,0,0,0,1,,,,,,,
Blank,Process_blank_HMGCS2_Cellpellets_1_RPpos_SZ_09222023_04,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A3,3,,0,0,0,1,,,,,,,
QC,Qstd_HILICneg_1_SZ_09222023_05,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A4,3,,0,0,0,1,,,,,,,
QC,Qstd_RPpos_1_SZ_09222023_06,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A4,3,,0,0,0,1,,,,,,,
QC,Pool_QC_HMGCS2_Cellpellets_HILICneg_1_SZ_09222023_07,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A5,3,,0,0,0,1,,,,,,,
QC,Pool_QC_HMGCS2_Cellpellets_RPpos_1_SZ_09222023_08,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A5,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Cellpellets_Sample1_HILICneg_SZ_09222023_09,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B1,3,,0,0,0,1,,,,,,,
Unknown,HMGCS2_Cellpellets_Sample1_RPpos_SZ_09222023_10,R:1,D:\HF-X_data\Shujian Zheng\09222023_Zukai_Cellpellets,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B1,3,,0,0,0,1,,,,,,,
