Bracket Type=4,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,Solvent_Blank_1_SZ_12062024_01,Solvent_Blank,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A1,3,,0,0,0,1,,,,,,,
Unknown,Process_Blank_12C_DnHz_1_SZ_12062024_02,Process_Blank_12C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A2,3,,0,0,0,1,,,,,,,
Unknown,Process_Blank_12C13C_DnHz_SZ_12062024_03,Process_Blank_12C13C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A3,3,,0,0,0,1,,,,,,,
Unknown,Pool_no_DnHz_1_12062024_04,Pool_no_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A4,3,,0,0,0,1,,,,,,,
Unknown,Standard_12C_DnHz_1_SZ_12062024_05,Standard_12C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A5,3,,0,0,0,1,,,,,,,
Unknown,Pool_12C_DnHz_1_SZ_12062024_06,Pool_12C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A6,3,,0,0,0,1,,,,,,,
Unknown,Pool_12C13C_DnHz_1_SZ_12062024_07,Pool_12C13C_DnCl,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A7,3,,0,0,0,1,,,,,,,
Unknown,Qstd_1_SZ_12062024_08,Qstd,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:A8,3,,0,0,0,1,,,,,,,
Unknown,HSD3B1_PTC_D03_Basal_R2_12C_DnHz_SZ_12062024_09,D03_HSD3B1_PTC_Basal,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:B1,3,,0,0,0,1,,,,,,,
Unknown,STS_KO_B03_Basal_R3_12C_DnHz_SZ_12062024_10,B03_STS_KO_Basal,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:B2,3,,0,0,0,1,,,,,,,
Unknown,STS_KO_A01_Basal_R1_12C_DnHz_SZ_12062024_11,A01_STS_KO_Basal,D:\Shujian\12042024_STS_HSD3B1\DnHz,C:\Xcalibur\methods\Shujian\Derivatization\05012024_DnHz_switchvalve,,,R:B3,3,,0,0,0,1,,,,,,,
